Naam;Aantal
Esperanza (V);91
Esra (V);1955
Esraa (V);34
Esri (V);45
Estella (V);103
Estelle (V);620
Ester (V);625
Esther (V);10981
Estrella (V);110
Estée (V);103
Eugenia (V);32
Eugenie (V);112
Eunice (V);163
Euphemia (V);29
Eva (V);13855
Evalien (V);51
Evaline (V);43
Evangeline (V);28
Evanne (V);44
Eve (V);89
Evelien (V);4166
Eveliene (V);155
Evelijn (V);74
Evelina (V);148
Eveline (V);2823
Evelyn (V);455
Evelyne (V);181
Everarda (V);39
Everdina (V);441
Everdine (V);28
Evertine (V);30
Evertje (V);391
Evi (V);1785
Evianne (V);79
Evie (V);629
Evin (V);34
Evita (V);440
Evy (V);1156
Ewa (V);45
Eylem (V);53
Ezgi (V);263
Ezra (V);228
Fabiana (V);67
Fabianne (V);35
Fabienne (V);1148
Fabiola (V);117
Fabiènne (V);61
Fabiën (V);60
Fabiënne (V);1598
Fadila (V);47
Fadime (V);283
Fadma (V);56
Fadoua (V);605
Faduma (V);97
Fadumo (V);66
Fadwa (V);28
Fae (V);32
Fahima (V);73
Fairouz (V);62
Faisa (V);33
Faith (V);333
Faiza (V);253
Fajah (V);35
Fallon (V);115
Famke (V);1069
Fannie (V);32
Fanny (V);345
Faouzia (V);34
Farah (V);876
Farahnaz (V);36
Fardau (V);214
Fardou (V);35
Farha (V);42
Farhana (V);33
Farhiya (V);31
Farida (V);357
Farina (V);39
Farisha (V);57
Farrah (V);31
Farzana (V);66
Fatema (V);30
Fatih (V);38
